template,prompt,target,llama_result,llama_answer
P30,Armenia belongs to the continent of ,Europe,Asia,"Armenia belongs to the continent of  Asia
"
P30,Elgar Uplands belongs to the continent of ,Antarctica,Asia,"Elgar Uplands belongs to the continent of  Asia
"
P30,Mulock Glacier belongs to the continent of ,Antarctica,Asia,"Mulock Glacier belongs to the continent of  Asia
"
P30,Chad Basin belongs to the continent of ,Africa,Asia,"Chad Basin belongs to the continent of  Asia
"
P30,Hanoi belongs to the continent of ,Asia,Asia,"Hanoi belongs to the continent of  Asia
"
P30,Granite Knolls belongs to the continent of ,Antarctica,Asia,"Granite Knolls belongs to the continent of  Asia
"
P30,Cape Adriasola belongs to the continent of ,Antarctica,Asia,"Cape Adriasola belongs to the continent of  Asia
"
P30,Banaskantha district belongs to the continent of ,Asia,Asia,"Banaskantha district belongs to the continent of  Asia
"
P30,Tallinn belongs to the continent of ,Europe,Europe,"Tallinn belongs to the continent of  Europe
"
P30,Hannah Point belongs to the continent of ,Antarctica,Europe,"Hannah Point belongs to the continent of  Europe
"
P30,North Brabant belongs to the continent of ,Europe,Asia,"North Brabant belongs to the continent of  Asia
"
P30,Balochistan belongs to the continent of ,Asia,Europe,"Balochistan belongs to the continent of  Europe
"
P30,Edinburgh Hill belongs to the continent of ,Antarctica,Europe,"Edinburgh Hill belongs to the continent of  Europe
"
P30,Udupi district belongs to the continent of ,Asia,Asia,"Udupi district belongs to the continent of  Asia
"
P30,Foyn Coast belongs to the continent of ,Antarctica,Europe,"Foyn Coast belongs to the continent of  Europe
"
P30,Clothier Harbour belongs to the continent of ,Antarctica,Europe,"Clothier Harbour belongs to the continent of  Europe
"
P30,Millerand Island belongs to the continent of ,Antarctica,Europe,"Millerand Island belongs to the continent of  Europe
"
P30,Eros Glacier belongs to the continent of ,Antarctica,Asia,"Eros Glacier belongs to the continent of  Asia
"
P30,Kama River belongs to the continent of ,Europe,Europe,"Kama River belongs to the continent of  Europe
"
P30,Nye Mountains belongs to the continent of ,Antarctica,Europe,"Nye Mountains belongs to the continent of  Europe
"
P30,New Swabia belongs to the continent of ,Antarctica,Asia,"New Swabia belongs to the continent of  Asia
"
P30,Hutton Mountains belongs to the continent of ,Antarctica,Europe,"Hutton Mountains belongs to the continent of  Europe
"
P30,Tagus river belongs to the continent of ,Europe,Europe,"Tagus river belongs to the continent of  Europe
"
P30,Fort William Point belongs to the continent of ,Antarctica,Europe,"Fort William Point belongs to the continent of  Europe
"
P30,Washington Escarpment belongs to the continent of ,Antarctica,Asia,"Washington Escarpment belongs to the continent of  Asia
"
P30,Saudi Arabia belongs to the continent of ,Asia,Asia,"Saudi Arabia belongs to the continent of  Asia
"
P30,Carryer Glacier belongs to the continent of ,Antarctica,Europe,"Carryer Glacier belongs to the continent of  Europe
"
P30,Lisiya Ridge belongs to the continent of ,Antarctica,Europe,"Lisiya Ridge belongs to the continent of  Europe
"
P30,Stabben belongs to the continent of ,Antarctica,Europe,"Stabben belongs to the continent of  Europe
"
P30,Largo Island belongs to the continent of ,Antarctica,Europe,"Largo Island belongs to the continent of  Europe
"
P30,Worcester Range belongs to the continent of ,Antarctica,Asia,"Worcester Range belongs to the continent of  Asia
"
P30,Biscoe Islands belongs to the continent of ,Antarctica,Asia,"Biscoe Islands belongs to the continent of  Asia
"
P30,Mount Markham belongs to the continent of ,Antarctica,Europe,"Mount Markham belongs to the continent of  Europe
"
P30,Tile Ridge belongs to the continent of ,Antarctica,Asia,"Tile Ridge belongs to the continent of  Asia
"
P30,British Graham Land Expedition belongs to the continent of ,Antarctica,Asia,"British Graham Land Expedition belongs to the continent of  Asia
"
P30,Hood Glacier belongs to the continent of ,Antarctica,Asia,"Hood Glacier belongs to the continent of  Asia
"
P30,Australia belongs to the continent of ,Oceania,Europe,"Australia belongs to the continent of  Europe
"
P30,Law Dome belongs to the continent of ,Antarctica,Europe,"Law Dome belongs to the continent of  Europe
"
P30,Grindley Plateau belongs to the continent of ,Antarctica,Asia,"Grindley Plateau belongs to the continent of  Asia
"
P30,Sobral Peninsula belongs to the continent of ,Antarctica,Europe,"Sobral Peninsula belongs to the continent of  Europe
"
P30,Cugnot Ice Piedmont belongs to the continent of ,Antarctica,Europe,"Cugnot Ice Piedmont belongs to the continent of  Europe
"
P30,Eritrea belongs to the continent of ,Africa,Europe,"Eritrea belongs to the continent of  Europe
"
P30,Hercules Inlet belongs to the continent of ,Antarctica,Europe,"Hercules Inlet belongs to the continent of  Europe
"
P30,Canisteo Peninsula belongs to the continent of ,Antarctica,Europe,"Canisteo Peninsula belongs to the continent of  Europe
"
P30,Mount Mentzel belongs to the continent of ,Antarctica,Europe,"Mount Mentzel belongs to the continent of  Europe
"
P30,Strom Glacier belongs to the continent of ,Antarctica,Europe,"Strom Glacier belongs to the continent of  Europe
"
P30,Rose Valley Glacier belongs to the continent of ,Antarctica,Europe,"Rose Valley Glacier belongs to the continent of  Europe
"
P30,Fendley Glacier belongs to the continent of ,Antarctica,Europe,"Fendley Glacier belongs to the continent of  Europe
"
P30,Fold Island belongs to the continent of ,Antarctica,Europe,"Fold Island belongs to the continent of  Europe
"
P30,Mount Dido belongs to the continent of ,Antarctica,Europe,"Mount Dido belongs to the continent of  Europe
"
P30,Archar Peninsula belongs to the continent of ,Antarctica,Europe,"Archar Peninsula belongs to the continent of  Europe
"
P30,Duchy of Brabant belongs to the continent of ,Europe,Europe,"Duchy of Brabant belongs to the continent of  Europe
"
P30,Tundzha Glacier belongs to the continent of ,Antarctica,Europe,"Tundzha Glacier belongs to the continent of  Europe
"
P30,Toulouse belongs to the continent of ,Europe,Europe,"Toulouse belongs to the continent of  Europe
"
P30,Lazarev Mountains belongs to the continent of ,Antarctica,Europe,"Lazarev Mountains belongs to the continent of  Europe
"
P30,South Korea belongs to the continent of ,Asia,Europe,"South Korea belongs to the continent of  Europe
"
P30,David Island belongs to the continent of ,Antarctica,Europe,"David Island belongs to the continent of  Europe
"
P30,Mikkelsen Bay belongs to the continent of ,Antarctica,Europe,"Mikkelsen Bay belongs to the continent of  Europe
"
P30,Cape Rymill belongs to the continent of ,Antarctica,Europe,"Cape Rymill belongs to the continent of  Europe
"
P30,Vinson Plateau belongs to the continent of ,Antarctica,Europe,"Vinson Plateau belongs to the continent of  Europe
"
P30,Cape Adare belongs to the continent of ,Antarctica,Europe,"Cape Adare belongs to the continent of  Europe
"
P30,The Hague belongs to the continent of ,Europe,Europe,"The Hague belongs to the continent of  Europe
"
P30,Coronation Island belongs to the continent of ,Antarctica,Europe,"Coronation Island belongs to the continent of  Europe
"
P30,Albanus Glacier belongs to the continent of ,Antarctica,Europe,"Albanus Glacier belongs to the continent of  Europe
"
P30,Denmark belongs to the continent of ,Europe,Europe,"Denmark belongs to the continent of  Europe
"
P30,Tupungato belongs to the continent of ,Americas,Europe,"Tupungato belongs to the continent of  Europe
"
P30,Beascochea Bay belongs to the continent of ,Antarctica,Europe,"Beascochea Bay belongs to the continent of  Europe
"
P30,Frostlendet Valley belongs to the continent of ,Antarctica,Europe,"Frostlendet Valley belongs to the continent of  Europe
"
P30,Pequod Glacier belongs to the continent of ,Antarctica,Europe,"Pequod Glacier belongs to the continent of  Europe
"
P30,United Kingdom belongs to the continent of ,Europe,Europe,"United Kingdom belongs to the continent of  Europe
"
P30,Nyamuragira belongs to the continent of ,Africa,Europe,"Nyamuragira belongs to the continent of  Europe
"
P30,Evans Peninsula belongs to the continent of ,Antarctica,Europe,"Evans Peninsula belongs to the continent of  Europe
"
P30,British Empire belongs to the continent of ,Africa,Europe,"British Empire belongs to the continent of  Europe
"
P30,British Empire belongs to the continent of ,Africa,Europe,"British Empire belongs to the continent of  Europe
"
P30,British Empire belongs to the continent of ,Americas,Europe,"British Empire belongs to the continent of  Europe
"
P30,British Empire belongs to the continent of ,Americas,Europe,"British Empire belongs to the continent of  Europe
"
P30,Hektoria Glacier belongs to the continent of ,Antarctica,Europe,"Hektoria Glacier belongs to the continent of  Europe
"
P30,Cape Williams belongs to the continent of ,Antarctica,Europe,"Cape Williams belongs to the continent of  Europe
"
P30,Trinity Peninsula belongs to the continent of ,Antarctica,Europe,"Trinity Peninsula belongs to the continent of  Europe
"
P30,South Asia belongs to the continent of ,Asia,Europe,"South Asia belongs to the continent of  Europe
"
P30,Mount Kempe belongs to the continent of ,Antarctica,Europe,"Mount Kempe belongs to the continent of  Europe
"
P30,Mount Discovery belongs to the continent of ,Antarctica,Europe,"Mount Discovery belongs to the continent of  Europe
"
P30,Misnomer Point belongs to the continent of ,Antarctica,Europe,"Misnomer Point belongs to the continent of  Europe
"
P30,Sjogren Glacier belongs to the continent of ,Antarctica,Europe,"Sjogren Glacier belongs to the continent of  Europe
"
P30,Bulgaria belongs to the continent of ,Europe,Europe,"Bulgaria belongs to the continent of  Europe
"
P30,Pechora River belongs to the continent of ,Europe,Europe,"Pechora River belongs to the continent of  Europe
"
P30,Queen Elizabeth Land belongs to the continent of ,Antarctica,Europe,"Queen Elizabeth Land belongs to the continent of  Europe
"
P30,Kiribati belongs to the continent of ,Oceania,Europe,"Kiribati belongs to the continent of  Europe
"
P30,Jhelum River belongs to the continent of ,Asia,Europe,"Jhelum River belongs to the continent of  Europe
"
P30,Kurze Mountains belongs to the continent of ,Antarctica,Europe,"Kurze Mountains belongs to the continent of  Europe
"
P30,Barker Range belongs to the continent of ,Antarctica,Europe,"Barker Range belongs to the continent of  Europe
"
P30,Wright Lower Glacier belongs to the continent of ,Antarctica,Europe,"Wright Lower Glacier belongs to the continent of  Europe
"
P30,Eiger belongs to the continent of ,Europe,Europe,"Eiger belongs to the continent of  Europe
"
P30,Coulman Island belongs to the continent of ,Antarctica,Europe,"Coulman Island belongs to the continent of  Europe
"
P30,Hudson Mountains belongs to the continent of ,Antarctica,Europe,"Hudson Mountains belongs to the continent of  Europe
"
P30,Czechoslovakia belongs to the continent of ,Europe,Europe,"Czechoslovakia belongs to the continent of  Europe
"
P30,Camp Academia belongs to the continent of ,Antarctica,Europe,"Camp Academia belongs to the continent of  Europe
"
P30,Austria belongs to the continent of ,Europe,Europe,"Austria belongs to the continent of  Europe
"
P30,Gambia River belongs to the continent of ,Africa,Europe,"Gambia River belongs to the continent of  Europe
"
P30,Drummond Glacier belongs to the continent of ,Antarctica,Europe,"Drummond Glacier belongs to the continent of  Europe
"
P30,Greece belongs to the continent of ,Europe,Europe,"Greece belongs to the continent of  Europe
"
P30,Mendelssohn Inlet belongs to the continent of ,Antarctica,Europe,"Mendelssohn Inlet belongs to the continent of  Europe
"
P30,Howard Glacier belongs to the continent of ,Antarctica,Europe,"Howard Glacier belongs to the continent of  Europe
"
P30,Forrestal Range belongs to the continent of ,Antarctica,Europe,"Forrestal Range belongs to the continent of  Europe
"
P30,Chester Cone belongs to the continent of ,Antarctica,Europe,"Chester Cone belongs to the continent of  Europe
"
P30,Thomas Glacier belongs to the continent of ,Antarctica,Europe,"Thomas Glacier belongs to the continent of  Europe
"
P30,Mount Ignatiev belongs to the continent of ,Antarctica,Europe,"Mount Ignatiev belongs to the continent of  Europe
"
P30,Bermel Escarpment belongs to the continent of ,Antarctica,Africa,"Bermel Escarpment belongs to the continent of  Africa
"
P30,Whirlwind Inlet belongs to the continent of ,Antarctica,Europe,"Whirlwind Inlet belongs to the continent of  Europe
"
P30,Saint Johns Range belongs to the continent of ,Antarctica,Europe,"Saint Johns Range belongs to the continent of  Europe
"
P30,Mount Queequeg belongs to the continent of ,Antarctica,Europe,"Mount Queequeg belongs to the continent of  Europe
"
P30,Mount Steere belongs to the continent of ,Antarctica,Asia,"Mount Steere belongs to the continent of  Asia
"
P30,Greenwood Valley belongs to the continent of ,Antarctica,Asia,"Greenwood Valley belongs to the continent of  Asia
"
P30,Zucchelli Station belongs to the continent of ,Antarctica,Europe,"Zucchelli Station belongs to the continent of  Europe
"
P30,Jones Mountains belongs to the continent of ,Antarctica,Europe,"Jones Mountains belongs to the continent of  Europe
"
P30,Antarctic Plateau belongs to the continent of ,Antarctica,Africa,"Antarctic Plateau belongs to the continent of  Africa
"
P30,Wales belongs to the continent of ,Europe,Europe,"Wales belongs to the continent of  Europe
"
P30,Indonesia belongs to the continent of ,Asia,Europe,"Indonesia belongs to the continent of  Europe
"
P30,Bailey Peninsula (Antarctica) belongs to the continent of ,Antarctica,Asia,"Bailey Peninsula (Antarctica) belongs to the continent of  Asia
"
P30,Beaumont Glacier belongs to the continent of ,Antarctica,Europe,"Beaumont Glacier belongs to the continent of  Europe
"
P30,Rockefeller Mountains belongs to the continent of ,Antarctica,Europe,"Rockefeller Mountains belongs to the continent of  Europe
"
P30,Nimrod Glacier belongs to the continent of ,Antarctica,Europe,"Nimrod Glacier belongs to the continent of  Europe
"
P30,Carlini Station belongs to the continent of ,Antarctica,Europe,"Carlini Station belongs to the continent of  Europe
"
P30,Venta belongs to the continent of ,Europe,Europe,"Venta belongs to the continent of  Europe
"
P30,Harold Byrd Mountains belongs to the continent of ,Antarctica,Europe,"Harold Byrd Mountains belongs to the continent of  Europe
"
P30,Cosgrove Ice Shelf belongs to the continent of ,Antarctica,Africa,"Cosgrove Ice Shelf belongs to the continent of  Africa
"
P30,Snakeskin Glacier belongs to the continent of ,Antarctica,Europe,"Snakeskin Glacier belongs to the continent of  Europe
"
P30,Vietnam belongs to the continent of ,Asia,Europe,"Vietnam belongs to the continent of  Europe
"
P30,Arrival Heights belongs to the continent of ,Antarctica,Europe,"Arrival Heights belongs to the continent of  Europe
"
P30,Mount Passel belongs to the continent of ,Antarctica,Asia,"Mount Passel belongs to the continent of  Asia
"
P30,George VI Ice Shelf belongs to the continent of ,Antarctica,Europe,"George VI Ice Shelf belongs to the continent of  Europe
"
P30,Piccard Cove belongs to the continent of ,Antarctica,Europe,"Piccard Cove belongs to the continent of  Europe
"
P30,European Union belongs to the continent of ,Europe,Europe,"European Union belongs to the continent of  Europe
"
P30,Corner Cliffs belongs to the continent of ,Antarctica,Europe,"Corner Cliffs belongs to the continent of  Europe
"
P30,Yugoslavia belongs to the continent of ,Europe,Europe,"Yugoslavia belongs to the continent of  Europe
"
P30,Coppermine Peninsula belongs to the continent of ,Antarctica,Asia,"Coppermine Peninsula belongs to the continent of  Asia
"
P30,Hull Glacier belongs to the continent of ,Antarctica,Europe,"Hull Glacier belongs to the continent of  Europe
"
P30,Mount Electra belongs to the continent of ,Antarctica,Asia,"Mount Electra belongs to the continent of  Asia
"
P30,George V Coast belongs to the continent of ,Antarctica,Asia,"George V Coast belongs to the continent of  Asia
"
P30,Wallis and Futuna belongs to the continent of ,Oceania,Asia,"Wallis and Futuna belongs to the continent of  Asia
"
P30,Robinson Group belongs to the continent of ,Antarctica,Asia,"Robinson Group belongs to the continent of  Asia
"
P30,Kingdom of Mercia belongs to the continent of ,Europe,Asia,"Kingdom of Mercia belongs to the continent of  Asia
"
P30,Byrd Station belongs to the continent of ,Antarctica,Asia,"Byrd Station belongs to the continent of  Asia
"
P30,Planet Heights belongs to the continent of ,Antarctica,Asia,"Planet Heights belongs to the continent of  Asia
"
P30,Transantarctic Mountains belongs to the continent of ,Antarctica,Asia,"Transantarctic Mountains belongs to the continent of  Asia
"
P30,Saturn Glacier belongs to the continent of ,Antarctica,Asia,"Saturn Glacier belongs to the continent of  Asia
"
P30,Balleny Islands belongs to the continent of ,Antarctica,Asia,"Balleny Islands belongs to the continent of  Asia
"
P30,Tbilisi belongs to the continent of ,Europe,Asia,"Tbilisi belongs to the continent of  Asia
"
P30,Honkala Island belongs to the continent of ,Antarctica,Asia,"Honkala Island belongs to the continent of  Asia
"
P30,Bern belongs to the continent of ,Europe,Europe,"Bern belongs to the continent of  Europe
"
P30,Don Juan Pond belongs to the continent of ,Antarctica,Asia,"Don Juan Pond belongs to the continent of  Asia
"
P30,Murphy Glacier belongs to the continent of ,Antarctica,Asia,"Murphy Glacier belongs to the continent of  Asia
"
P30,Crown Peak belongs to the continent of ,Antarctica,Asia,"Crown Peak belongs to the continent of  Asia
"
P30,Paris belongs to the continent of ,Europe,Europe,"Paris belongs to the continent of  Europe
"
P30,Minna Bluff belongs to the continent of ,Antarctica,Asia,"Minna Bluff belongs to the continent of  Asia
"
P30,Miziya Peak belongs to the continent of ,Antarctica,Asia,"Miziya Peak belongs to the continent of  Asia
"
P30,Khabarovsk belongs to the continent of ,Asia,Asia,"Khabarovsk belongs to the continent of  Asia
"
P30,Air New Zealand Flight 901 belongs to the continent of ,Antarctica,Asia,"Air New Zealand Flight 901 belongs to the continent of  Asia
"
P30,Rambo Nunataks belongs to the continent of ,Antarctica,Europe,"Rambo Nunataks belongs to the continent of  Europe
"
P30,Balchen Mountain belongs to the continent of ,Antarctica,Asia,"Balchen Mountain belongs to the continent of  Asia
"
P30,Darley Hills belongs to the continent of ,Antarctica,Asia,"Darley Hills belongs to the continent of  Asia
"
P30,New Delhi belongs to the continent of ,Asia,Asia,"New Delhi belongs to the continent of  Asia
"
P30,Azerbaijan belongs to the continent of ,Asia,Asia,"Azerbaijan belongs to the continent of  Asia
"
P30,Mount Moses belongs to the continent of ,Antarctica,Asia,"Mount Moses belongs to the continent of  Asia
"
P30,Posadowsky Bay belongs to the continent of ,Antarctica,Asia,"Posadowsky Bay belongs to the continent of  Asia
"
P30,Evans Peak belongs to the continent of ,Antarctica,Asia,"Evans Peak belongs to the continent of  Asia
"
P30,Mount Wade belongs to the continent of ,Antarctica,Asia,"Mount Wade belongs to the continent of  Asia
"
P30,West Indies belongs to the continent of ,Americas,Asia,"West Indies belongs to the continent of  Asia
"
P30,Tiber belongs to the continent of ,Europe,Asia,"Tiber belongs to the continent of  Asia
"
P30,Mount Boreas belongs to the continent of ,Antarctica,Asia,"Mount Boreas belongs to the continent of  Asia
"
P30,Slovenia belongs to the continent of ,Europe,Asia,"Slovenia belongs to the continent of  Asia
"
P30,Saunders Mountain belongs to the continent of ,Antarctica,Asia,"Saunders Mountain belongs to the continent of  Asia
"
P30,Irtysh river belongs to the continent of ,Asia,Asia,"Irtysh river belongs to the continent of  Asia
"
P30,Chandigarh belongs to the continent of ,Asia,Asia,"Chandigarh belongs to the continent of  Asia
"
P30,Shirley Island belongs to the continent of ,Antarctica,Asia,"Shirley Island belongs to the continent of  Asia
"
P30,Forster Ice Piedmont belongs to the continent of ,Antarctica,Asia,"Forster Ice Piedmont belongs to the continent of  Asia
"
P30,Despotate of Epirus belongs to the continent of ,Europe,Asia,"Despotate of Epirus belongs to the continent of  Asia
"
P30,Molar Massif belongs to the continent of ,Antarctica,Asia,"Molar Massif belongs to the continent of  Asia
"
P30,Cannonball Cliffs belongs to the continent of ,Antarctica,Asia,"Cannonball Cliffs belongs to the continent of  Asia
"
P30,Indian Institute of Science belongs to the continent of ,Asia,Asia,"Indian Institute of Science belongs to the continent of  Asia
"
P30,Ferrer Point belongs to the continent of ,Antarctica,Africa,"Ferrer Point belongs to the continent of  Africa
"
P30,England belongs to the continent of ,Europe,Africa,"England belongs to the continent of  Africa
"
P30,Metropolitan France belongs to the continent of ,Europe,Asia,"Metropolitan France belongs to the continent of  Asia
"
P30,Morozumi Range belongs to the continent of ,Antarctica,Asia,"Morozumi Range belongs to the continent of  Asia
"
P30,Brugmann Mountains belongs to the continent of ,Antarctica,Asia,"Brugmann Mountains belongs to the continent of  Asia
"
P30,Reinbolt Hills belongs to the continent of ,Antarctica,Asia,"Reinbolt Hills belongs to the continent of  Asia
"
P30,Breidnes Peninsula belongs to the continent of ,Antarctica,Asia,"Breidnes Peninsula belongs to the continent of  Asia
"
P30,Shipton Ridge belongs to the continent of ,Antarctica,Asia,"Shipton Ridge belongs to the continent of  Asia
"
P30,William Scoresby Bay belongs to the continent of ,Antarctica,Asia,"William Scoresby Bay belongs to the continent of  Asia
"
P30,Ray Promontory belongs to the continent of ,Antarctica,Asia,"Ray Promontory belongs to the continent of  Asia
"
P30,Contell Glacier belongs to the continent of ,Antarctica,Asia,"Contell Glacier belongs to the continent of  Asia
"
P30,Comoros belongs to the continent of ,Africa,Africa,"Comoros belongs to the continent of  Africa
"
P30,Dumoulin Islands belongs to the continent of ,Antarctica,Asia,"Dumoulin Islands belongs to the continent of  Asia
"
P30,East Francia belongs to the continent of ,Europe,Asia,"East Francia belongs to the continent of  Asia
"
P30,Mundraga Bay belongs to the continent of ,Antarctica,Asia,"Mundraga Bay belongs to the continent of  Asia
"
P30,Nizamabad district belongs to the continent of ,Asia,Asia,"Nizamabad district belongs to the continent of  Asia
"
P30,Kirkpatrick Glacier belongs to the continent of ,Antarctica,Asia,"Kirkpatrick Glacier belongs to the continent of  Asia
"
P30,Collins Harbour belongs to the continent of ,Antarctica,Africa,"Collins Harbour belongs to the continent of  Africa
"
P30,Maitri belongs to the continent of ,Antarctica,Africa,"Maitri belongs to the continent of  Africa
"
P30,Hammer Point belongs to the continent of ,Antarctica,Africa,"Hammer Point belongs to the continent of  Africa
"
P30,Kaloyan Nunatak belongs to the continent of ,Antarctica,Asia,"Kaloyan Nunatak belongs to the continent of  Asia
"
P30,Kingdom of the Netherlands belongs to the continent of ,Europe,Asia,"Kingdom of the Netherlands belongs to the continent of  Asia
"
P30,Hansen Glacier belongs to the continent of ,Antarctica,Asia,"Hansen Glacier belongs to the continent of  Asia
"
P30,Marshall Islands belongs to the continent of ,Oceania,Asia,"Marshall Islands belongs to the continent of  Asia
"
P30,Bourgeois Fjord belongs to the continent of ,Antarctica,Asia,"Bourgeois Fjord belongs to the continent of  Asia
"
P30,Atlantic Club Ridge belongs to the continent of ,Antarctica,Asia,"Atlantic Club Ridge belongs to the continent of  Asia
"
P30,Cape Hordern belongs to the continent of ,Antarctica,Asia,"Cape Hordern belongs to the continent of  Asia
"
P30,Tierney Peninsula belongs to the continent of ,Antarctica,Europe,"Tierney Peninsula belongs to the continent of  Europe
"
